book_num,sentence
2,"['all', 'year', 'i', 'battling', 'wondering', 'whether', 'i', 'tell', 'dumbledore', 'sirius', 'animagus']"
2,"['and', 'i', 'convinced', 'sirius', 'getting', 'school', 'using', 'dark', 'arts', 'learned', 'voldemort', 'animagus', 'nothing', 'way', 'snape', 'right', 'along']"
2,"['expelliarmus', 'yelled', 'except', 'voice', 'shouted']"
2,"['he', 'hurried', 'ron', 'bent', 'tapped', 'ron', 'leg', 'wand', 'muttered', 'ferula', 'bandages', 'spun', 'ron', 'leg', 'strapping', 'tightly', 'splint']"
2,"['he', 'muttered', 'mobilicorpus', 'as', 'though', 'invisible', 'strings', 'tied', 'snape', 'wrists', 'neck', 'knees', 'pulled', 'standing', 'position', 'head', 'still', 'lolling', 'unpleasantly', 'like', 'grotesque', 'puppet']"
2,"['expelliarmus', 'harry', 'yelled', 'pointing', 'wand', 'pettigrew', 'lupin', 'wand', 'flew', 'high', 'air', 'sight']"
2,"['he', 'forced', 'think', 'sirius', 'sirius', 'began', 'chant', 'expecto', 'patronum']"
2,"['expecto', 'patronum']"
2,"['expecto', 'patronum']"
2,"['expecto', 'patronum']"
2,"['expecto', 'hermione', 'whispered', 'expecto', 'expecto']"
2,"['expecto', 'patronum', 'harry', 'yelled', 'trying', 'blot', 'screaming', 'ears']"
2,"['expecto', 'patronum']"
2,"['expecto', 'expecto', 'patronum']"
2,"['expecto', 'patronum', 'gasped']"
2,"['he', 'innocent', 'expecto', 'expecto', 'patronum']"
2,"['he', 'fight', 'expecto', 'patronum', 'see', 'distance', 'heard', 'familiar', 'screaming', 'expecto', 'patronum', 'groped', 'mist', 'sirius', 'found', 'arm', 'going', 'take']"
2,"['it', 'ron', 'rat', 'animagus', 'pettigrew', 'i', 'mean']"
2,"['expecto', 'patronum', 'yelled']"
2,['alohomora']
3,"['the', 'dursleys', 'never', 'allowed', 'general', 'wish', 'keeping', 'harry', 'miserable', 'possible', 'coupled', 'fear', 'powers', 'led', 'lock', 'school', 'trunk', 'cupboard', 'stairs', 'every', 'summer', 'prior']"
3,"['incendio', 'said', 'mr', 'weasley', 'pointing', 'wand', 'hole', 'wall', 'behind']"
3,"['mrs', 'weasley', 'pointed', 'wand', 'george', 'pocket', 'said', 'accio']"
3,['accio']
3,['accio']
3,"['accio', 'shouted', 'toffees', 'zoomed', 'sorts', 'unlikely', 'places', 'including', 'lining', 'george', 'jacket', 'turnups', 'fred', 'jeans']"
3,"['obliviate', 'said', 'sharply', 'pointing', 'wand', 'mr', 'roberts']"
3,"['ludo', 'whipped', 'wand', 'directed', 'throat', 'said', 'sonorus', 'spoke', 'roar', 'sound', 'filling', 'packed', 'stadium', 'voice', 'echoed', 'booming', 'every', 'corner', 'stands']"
